,id,Mun_Code,Reg_Name,Pro_Name,Mun_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
54,54,156614000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,TAPUL,97.35618115,,0.146878825,89.48103328,55.68245125,51.83987829,0.048959608,,99.921875,0
55,55,156615000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,TONGKIL,96.91722169,,5.651760228,87.46905576,41.21694549,57.7185547,0.380589914,,99.94714588,0.000713879
56,56,156616000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,PANGLIMA ESTINO (NEW PANAMAO),81.84513306,,4.348132985,88.57265616,14.19084799,45.09441165,0.402343474,,99.95698396,0.003123927
57,57,156617000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,LUGUS,98.33377413,,0.290928326,93.58225773,42.0414673,56.08411597,0.317376355,,99.88914403,0
58,58,156618000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,PANDAMI,78.55795431,,1.00607839,90.8430973,32.73168512,56.0499023,0.859358625,,99.92257815,0
59,59,156619000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,OMAR,98.11939646,,0.852831839,52.43835616,43.56212828,58.89833814,0.021867483,,99.94105511,0.006201413
60,60,97332000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,ZAMBOANGA CITY,51.28296609,30.40722244,7.162632721,56.61830953,12.12451184,56.19497164,1.4870419,97.49389532,97.13507406,45.49986015
61,61,99701000,REGION IX (ZAMBOANGA PENINSULA),CITY OF ISABELA (Not a Province),CITY OF ISABELA,31.9844667,,12.36044305,63.36986245,13.83117156,62.17391304,1.734257094,96.89722393,98.4479529,0.002077502
62,62,150702000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,CITY OF LAMITAN,60.79767624,,3.938107474,90.90422057,19.99269578,58.11967619,0.664730198,,98.82419568,0.001464175
63,63,150703000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,LANTAWAN,50.65645514,,1.072210066,88.8804458,20.96712538,57.63313609,6.870897155,,99.36358741,0.00051036
64,64,150704000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,MALUSO,45.08090233,,2.137711114,84.53955164,20.15015533,60.08622162,0.661391284,,99.52478808,0.000319743
65,65,150705000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,SUMISIP,42.93577982,,6.890927625,81.02251898,27.74518022,52.07710464,8.858307849,,99.5870308,0.002012571
66,66,150712000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,HADJI MUHTAMAD,96.10070617,,10.34694504,75.24499095,18.20093458,63.94388505,1.81148296,,99.93339043,0
67,67,97201000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,DAPITAN CITY,44.93738819,33.68287258,1.776982707,47.78429261,5.73874812,51.35886099,0.483005367,89.66453061,98.83884588,0.003153502
68,68,97202000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,DIPOLOG CITY (Capital),22.43362084,55.21907216,2.219685439,73.4420328,6.959004327,50.87246216,1.822256046,,97.58639941,0.003950353
69,69,97203000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,KATIPUNAN,45.45092574,33.47889374,1.58271949,66.03090858,9.814244561,45.25888398,0.079633685,87.73003033,98.8305505,0.016381046
70,70,97204000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,LA LIBERTAD,70.38784067,41.27806563,1.729559748,9.679917398,7.083333333,47.40284006,1.519916143,,98.93336845,0.008088179
71,71,97205000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,LABASON,35.33145275,30.34901366,6.22607294,84.47117,9.518372431,55.67852437,1.904090268,,99.19965181,0.001133379
72,72,97206000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,LILOY,20.53662518,45.04347826,7.039379718,79.51065083,10.1241535,43.58005211,0.163231993,,98.93356688,45.49865532
73,73,97207000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,MANUKAN,49.33778933,34.01856764,2.265131823,71.09062639,8.564621799,47.7520436,1.336799109,84.37023483,98.96238296,0.010228841
74,74,97208000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,MUTIA,24.51586321,26.04828463,1.400906469,21.63910191,6.935123043,47.66153014,0.535640709,,99.01380671,0.010045563
75,75,97209000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,PIÌÔAN (NEW PIÌÔAN),47.51758794,30.65976714,9.346733668,14.27993936,8.191761694,52.50226108,0.743718593,,98.72030157,0.001981003
76,76,97210000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,POLANCO,35.26879218,52.84425265,2.024668373,60.6741573,10.35749265,49.4583576,6.644170351,87.33829771,98.66317635,0.005390524
77,77,97211000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,PRES. MANUEL A. ROXAS,47.60665384,36.38025594,2.16136698,52.8018751,7.492440363,48.77240106,0.814756139,,98.99295578,0.017729386
78,78,97212000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,RIZAL,21.03341758,20.81736909,1.48834597,3.047290499,7.533994855,48.51515776,0.730131985,,98.65202197,0.069832936
79,79,97213000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SALUG,33.87575875,40.15503876,1.769340049,35.86981138,8.42543419,32.41605162,0.219553145,79.75096261,99.09638554,45.5028553
80,80,97214000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SERGIO OSMEÌÔA SR.,41.76189787,51.64348925,3.196875452,50.80082789,9.708998257,44.01171895,0.67987849,,99.3584603,0.139169073
81,81,97215000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SIAYAN,58.92506865,56.19540602,1.072315941,57.20505499,16.26059322,51.84567754,0.418464757,,99.4022765,45.55811026
82,82,97218000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SINDANGAN,40.33121137,56.93832599,1.379278531,55.49117644,12.52732545,49.20167538,0.987175939,,98.91991116,45.53433376
83,83,97220000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SIRAWAI,44.65483823,46.75480769,4.771134635,37.28472152,12.76153346,55.76911876,0.90949754,,99.36489382,45.49922005
84,84,97221000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,TAMPILISAN,56.55184659,37.54491018,1.651278409,54.97634336,11.42277173,52.11047421,0.408380682,,99.16930213,0.002346146
85,85,97222000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,JOSE DALMAN (PONOT),52.29705253,46.16530156,0.955046929,73.27068744,9.841222289,49.29157765,0.444590812,,99.2405433,45.5554417
86,86,97223000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,GUTALAC,64.88991889,40.31991175,2.630359212,43.59478152,9.129674175,56.76653762,0.463499421,,99.05668826,45.5013921
